Hebrew,Transliteration,Root,Meaning,Part of speech
אֵב,ev,א - ב - ב,"bud, shoot (of a plant) (lit.)","Noun –ketelpattern, masculine"
אָבִיב,aviv,א - ב - ב,spring (season),"Noun –katilpattern, masculine"
אֲבֵידָה,aveda,א - ב - ד,"loss; (in plural) casualties, losses","Noun –ktelapattern, feminine"
אִיבּוּד,ibud,א - ב - ד,"loss, disappearance","Noun –kittulpattern, masculine"
הִתְאַבְּדוּת,hit'abdut,א - ב - ד,suicide,"Noun –hitkattlutpattern, feminine"
אֲבֵדָה,aveda,א - ב - ד,loss,"Noun –ktelapattern, feminine"
אִיבְחוּן,ivchun,א - ב - ח - נ,"check, diagnosis; diagnostics","Noun –kittulpattern, masculine"
אִיבְטוּחַ,ivtuach,א - ב - ט - ח,"protection, guarding, securing","Noun –kittulpattern, masculine"
אוֹבֶךְ,ovech,א - ב - כ,"haze, haziness","Noun –kotelpattern, masculine"
אֵבֶל,evel,א - ב - ל,mourning,"Noun –ketelpattern, masculine"
אֶבֶן,even,א - ב - נ,stone,"Noun –ketelpattern, feminine"
הַאֲבָסָה,ha'avasa,א - ב - ס,feeding (animals),"Noun –haktalapattern, feminine"
אִיבּוּק,ibuk,א - ב - ק,֔powdering; dusting,"Noun –kittulpattern, masculine"
מַאֲבָק,ma'avak,א - ב - ק,"strife, struggle, fight","Noun –miktalpattern, masculine"
אָבָק,avak,א - ב - ק,"dust, powder","Noun –katalpattern, masculine"
אַבִּיר,abir,א - ב - ר,knight; nobleman,"Noun –kattilpattern, masculine"
אֶבְרָה,evra,א - ב - ר,"pinion, wing (lit.)","Noun –kitlapattern, feminine"
אִיגּוּד,igud,א - ג - ד,"union, organisation","Noun –kittulpattern, masculine"
הִתְאַגְּדוּת,hit'agdut,א - ג - ד,"union, corporation","Noun –hitkattlutpattern, feminine"
אוּגְדָּה,ugda,א - ג - ד,division (army),"Noun –kutlapattern, feminine"
אֲגוּדָּה,aguda,א - ג - ד,"union, association","Noun –ktullapattern, feminine"
אֶגֶד,eged,א - ג - ד,"bundle, bunch (lit.); bandage","Noun –ketelpattern, masculine"
אֲגִידָה,agida,א - ג - ד,"binding, bundling (dated)","Noun –ktilapattern, feminine"
אוֹגֵד,oged,א - ג - ד,copula (grammar),"Noun –kotelpattern, masculine"
תַּאֲגִיד,ta'agid,א - ג - ד,corporation,"Noun –taktilpattern, masculine"
אֲגַם,agam,א - ג - מ,lake,"Noun –ktalpattern, masculine"
אִיגּוּף,iguf,א - ג - פ,"outflanking, flanking","Noun –kittulpattern, masculine"
אֲגַף,agaf,א - ג - פ,"branch, department; flank","Noun –ktalpattern, masculine"
אִיגֶּרֶת,igeret,א - ג - ר,"note, message","Noun –kitteletpattern, feminine"
אֶגְרוֹן,egron,א - ג - ר,"thesaurus, dictionary (dated)","Noun –kitlonpattern, masculine"
מַאֲגָר,ma'agar,א - ג - ר,"reserve, stockpile; reservoir","Noun –miktalpattern, masculine"
אַגְרָה,agra,א - ג - ר,"fee, toll","Noun –katlapattern, feminine"
אִגְרוּף,igruf,א - ג - ר - פ,boxing; making a fist,"Noun –kittulpattern, masculine"
אִידּוּי,iduy,א - ד - ה,vaporization; simmering,"Noun –kittulpattern, masculine"
הִתְאַדּוּת,hit'adut,א - ד - ה,evaporation,"Noun –hitkattlutpattern, feminine"
מַאֲדִים,ma'adim,א - ד - מ,Mars (the planet),"Noun –maktilpattern, masculine"
אוֹדֶם,odem,א - ד - מ,ruby (gem),"Noun –kotelpattern, masculine"
אַדֶּמֶת,ademet,א - ד - מ,"rubella, German measles","Noun –katteletpattern, feminine"
אָדָם,adam,א - ד - מ,"man, person, human being (also בֶּן אָדָם, plural: בְּנֵי אָדָם)","Noun –katalpattern, masculine"
אֲדָמָה,adama,א - ד - מ,"earth, soil, ground; land","Noun –ktalapattern, feminine"
אוֹדֶם,odem,א - ד - מ,"red, red colour; 💄 lipstick (coll.)","Noun –kotelpattern, masculine"
הִתְאַהֲבוּת,hit'ahavut,א - ה - ב,"infatuation, falling in love, crush","Noun –hitkattlutpattern, feminine"
אַהֲבָה,ahava,א - ה - ב,love,"Noun –katlapattern, feminine"
אוֹהֵד,ohed,א - ה - ד,"fan (sports), supporter","Noun –kotelpattern, masculine"
אוֹהֶל,ohel,א - ה - ל,tent,"Noun –kotelpattern, masculine"
אִיווֶּלֶת,ivelet,א - ו - ל,"stupidity, foolishness","Noun –kitteletpattern, feminine"
תְּאוּצָה,te'utza,א - ו - צ,acceleration,"Noun –tkulapattern, feminine"
תְּאוּרָה,te'ura,א - ו - ר,"lighting, illumination","Noun –tkulapattern, feminine"
מְאוּרָה,me'ura,א - ו - ר,"den, lair, hole","Noun –mekulapattern, feminine"
מָאוֹר,ma'or,א - ו - ר,"celestial body, star (biblical); lighting; brightness, glow","Noun –miktalpattern, masculine"
אִיווְרוּר,ivrur,א - ו - ר - ר,"ventilation, airing","Noun –kittulpattern, masculine"
מְאַווְרֵר,me'avrer,א - ו - ר - ר,"ventilator, fan","Noun –mekattelpattern, masculine"
אִיווְשׁוּשׁ,ivshush,א - ו - ש - ש,"rustle, murmur (lit.)","Noun –kittulpattern, masculine"
אִיזְכּוּר,izkur,א - ז - כ - ר,"reference, mention, quotation, citation","Noun –kittulpattern, masculine"
אִיזּוּן,izun,א - ז - נ,"balance, equilibrium","Noun –kittulpattern, masculine"
אוֹזֶן,ozen,א - ז - נ,ear (anatomy),"Noun –kotelpattern, feminine"
הַאֲזָנָה,ha'azana,א - ז - נ,listening,"Noun –haktalapattern, feminine"
אָזִיק,azik,א - ז - ק,handcuff (אזיקים: handcuffs),"Noun –katilpattern, masculine"
הִתְאַחֲדוּת,hit'achadut,א - ח - ד,"association, federation; unification","Noun –hitkattlutpattern, feminine"
אַחְדוּת,achdut,א - ח - ד,"unity, unification","Noun –katlutpattern, feminine"
אִיחוּד,ichud,א - ח - ד,"unity, unification","Noun –kittulpattern, masculine"
הַאֲחָדָה,ha'achada,א - ח - ד,"unification, coalescence","Noun –haktalapattern, feminine"
אַחֲווָה,achava,א - ח - ו,"fraternity, comradeship, brotherhood, sisterhood","Noun –katlapattern, feminine"
אָחוּ,achu,א - ח - ו,"meadow, pasture, grazing land","Noun –ketelpattern, masculine"
אֲחוּזָּה,achuza,א - ח - ז,"estate; property, holdings","Noun –ktullapattern, feminine"
אֲחִיזָה,achiza,א - ח - ז,"grasp, grip, hold, control; basis, support","Noun –ktilapattern, feminine"
אָחוּז,achuz,א - ח - ז,"percent, per cent","Noun –katulpattern, masculine"
אִיחוּל,ichul,א - ח - ל,"wish, greeting","Noun –kittulpattern, masculine"
אִיחְסוּן,ichsun,א - ח - ס - נ,storage,"Noun –kittulpattern, masculine"
אִיחוּר,ichur,א - ח - ר,"delay, tardiness, lateness, being late","Noun –kittulpattern, masculine"
אָחוֹר,achor,א - ח - ר,"back, rear part (lit.)","Noun –katolpattern, masculine"
אֲחוֹרַייִם,achorayim,א - ח - ר,"buttocks, backside","Noun –katolpattern, masculine"
